tournament_id,year,group_name,team,played,won,drawn,lost,goals_for,goals_against,points,goal_diff,group_rank
WC-1990,1990,Group C,Brazil,3,3,0,0,4,1,6,3,1
WC-1990,1990,Group C,Costa Rica,3,2,0,1,3,2,4,1,2
WC-1990,1990,Group C,Scotland,3,1,0,2,2,3,2,-1,3
WC-1990,1990,Group C,Sweden,3,0,0,3,3,6,0,-3,4
WC-1990,1990,Group D,Germany,3,2,1,0,10,3,5,7,1
WC-1990,1990,Group D,Yugoslavia,3,2,0,1,6,5,4,1,2
WC-1990,1990,Group D,Colombia,3,1,1,1,3,2,3,1,3
WC-1990,1990,Group D,United Arab Emirates,3,0,0,3,2,11,0,-9,4
WC-1990,1990,Group E,Spain,3,2,1,0,5,2,5,3,1
WC-1990,1990,Group E,Belgium,3,2,0,1,6,3,4,3,2
WC-1990,1990,Group E,Uruguay,3,1,1,1,2,3,3,-1,3
WC-1990,1990,Group E,South Korea,3,0,0,3,1,6,0,-5,4
WC-1990,1990,Group F,England,3,1,2,0,2,1,4,1,1
WC-1990,1990,Group F,Netherlands,3,0,3,0,2,2,3,0,2
WC-1990,1990,Group F,Republic of Ireland,3,0,3,0,2,2,3,0,3
WC-1990,1990,Group F,Egypt,3,0,2,1,1,2,2,-1,4
WC-1994,1994,Group A,Romania,3,2,0,1,5,5,6,0,1
WC-1994,1994,Group A,Switzerland,3,1,1,1,5,4,4,1,2
WC-1994,1994,Group A,United States,3,1,1,1,3,3,4,0,3
WC-1994,1994,Group A,Colombia,3,1,0,2,4,5,3,-1,4
WC-1994,1994,Group B,Brazil,3,2,1,0,6,1,7,5,1
WC-1994,1994,Group B,Sweden,3,1,2,0,6,4,5,2,2
WC-1994,1994,Group B,Russia,3,1,0,2,7,6,3,1,3
WC-1994,1994,Group B,Cameroon,3,0,1,2,3,11,1,-8,4
WC-1994,1994,Group C,Germany,3,2,1,0,5,3,7,2,1
WC-1994,1994,Group C,Spain,3,1,2,0,6,4,5,2,2
WC-1994,1994,Group C,South Korea,3,0,2,1,4,5,2,-1,3
WC-1994,1994,Group C,Bolivia,3,0,1,2,1,4,1,-3,4
WC-1994,1994,Group D,Nigeria,3,2,0,1,6,2,6,4,1
WC-1994,1994,Group D,Argentina,3,2,0,1,6,3,6,3,2
WC-1994,1994,Group D,Bulgaria,3,2,0,1,6,3,6,3,3
WC-1994,1994,Group D,Greece,3,0,0,3,0,10,0,-10,4
WC-1994,1994,Group E,Mexico,3,1,1,1,3,3,4,0,1
WC-1994,1994,Group E,Italy,3,1,1,1,2,2,4,0,2
WC-1994,1994,Group E,Republic of Ireland,3,1,1,1,2,2,4,0,3
WC-1994,1994,Group E,Norway,3,1,1,1,1,1,4,0,4
WC-1994,1994,Group F,Netherlands,3,2,0,1,4,3,6,1,1
WC-1994,1994,Group F,Saudi Arabia,3,2,0,1,4,3,6,1,2
WC-1994,1994,Group F,Belgium,3,2,0,1,2,1,6,1,3
WC-1994,1994,Group F,Morocco,3,0,0,3,2,5,0,-3,4
WC-1998,1998,Group A,Brazil,3,2,0,1,6,3,6,3,1
WC-1998,1998,Group A,Norway,3,1,2,0,5,4,5,1,2
