tournament_id,tournament_name,year,match_id,match_date,group_name,home_team_name,away_team_name,home_team_score,away_team_score,goal_diff,home_elo,away_elo,elo_gap,scoreline_component,elo_weight,cis
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-11,1958-06-11,Group 2,Paraguay,Scotland,3,2,1,1602.82,1647.94,45.12,0.25,0.9297,0.6973
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-12,1958-06-11,Group 2,Yugoslavia,France,3,2,1,1758.0,1685.68,72.32,0.25,0.8873,0.6655
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-13,1958-06-11,Group 3,Mexico,Wales,1,1,0,1671.86,1536.48,135.38,0.0,0.789,0.789
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-14,1958-06-11,Group 4,Brazil,England,0,0,0,1829.22,1818.86,10.36,0.0,0.9839,0.9839
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-15,1958-06-11,Group 4,Russia,Austria,2,0,2,1676.92,1738.38,61.46,0.5,0.9042,0.4521
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-16,1958-06-12,Group 3,Sweden,Hungary,2,1,1,1637.91,1899.94,262.03,0.25,0.5916,0.4437
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-17,1958-06-15,Group 3,Sweden,Wales,0,0,0,1637.91,1536.48,101.43,0.0,0.8419,0.8419
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-18,1958-06-15,Group 1,Czechoslovakia,Argentina,6,1,5,1716.97,1889.43,172.46,1.0,0.7312,0.0
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-19,1958-06-15,Group 1,Germany,Northern Ireland,2,2,0,1749.63,1505.77,243.86,0.0,0.6199,0.6199
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-20,1958-06-15,Group 2,France,Scotland,2,1,1,1685.68,1647.94,37.74,0.25,0.9412,0.7059
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-21,1958-06-15,Group 2,Paraguay,Yugoslavia,3,3,0,1602.82,1758.0,155.18,0.0,0.7582,0.7582
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-22,1958-06-15,Group 3,Hungary,Mexico,4,0,4,1899.94,1671.86,228.08,1.0,0.6445,0.0
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-23,1958-06-15,Group 4,Brazil,Russia,2,0,2,1829.22,1676.92,152.3,0.5,0.7626,0.3813
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-24,1958-06-15,Group 4,England,Austria,2,2,0,1818.86,1738.38,80.48,0.0,0.8746,0.8746
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-25,1958-06-17,Group 1,Northern Ireland,Czechoslovakia,2,1,1,1505.77,1716.97,211.2,0.25,0.6708,0.5031
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-26,1958-06-17,Group 3,Wales,Hungary,2,1,1,1536.48,1899.94,363.46,0.25,0.5,0.375
WC-1958,1958 FIFA Men's World Cup,1958,M-1958-27,1958-06-17,Group 4,Russia,England,1,0,1,1676.92,1818.86,141.94,0.25,0.7788,0.5841
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-01,1962-05-30,Group 1,Uruguay,Colombia,2,1,1,1756.13,1349.34,406.79,0.25,0.5,0.375
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-02,1962-05-30,Group 2,Chile,Switzerland,3,1,2,1599.72,1568.98,30.74,0.5,0.9521,0.476
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-03,1962-05-30,Group 3,Brazil,Mexico,2,0,2,1952.45,1672.07,280.38,0.5,0.563,0.2815
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-04,1962-05-30,Group 4,Argentina,Bulgaria,1,0,1,1824.87,1581.13,243.74,0.25,0.6201,0.4651
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-05,1962-05-31,Group 1,Russia,Yugoslavia,2,0,2,1881.44,1842.54,38.9,0.5,0.9394,0.4697
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-06,1962-05-31,Group 2,Germany,Italy,0,0,0,1734.76,1716.84,17.92,0.0,0.9721,0.9721
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-07,1962-05-31,Group 3,Czechoslovakia,Spain,1,0,1,1802.62,1794.09,8.53,0.25,0.9867,0.74
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-08,1962-05-31,Group 4,Hungary,England,2,1,1,1795.04,1769.85,25.19,0.25,0.9607,0.7206
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-09,1962-06-02,Group 1,Yugoslavia,Uruguay,3,1,2,1842.54,1756.13,86.41,0.5,0.8653,0.4327
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-10,1962-06-02,Group 2,Chile,Italy,2,0,2,1599.72,1716.84,117.12,0.5,0.8175,0.4087
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-11,1962-06-02,Group 3,Brazil,Czechoslovakia,0,0,0,1952.45,1802.62,149.83,0.0,0.7665,0.7665
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-12,1962-06-02,Group 4,England,Argentina,3,1,2,1769.85,1824.87,55.02,0.5,0.9143,0.4571
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-13,1962-06-03,Group 1,Russia,Colombia,4,4,0,1881.44,1349.34,532.1,0.0,0.5,0.5
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-14,1962-06-03,Group 2,Germany,Switzerland,2,1,1,1734.76,1568.98,165.78,0.25,0.7416,0.5562
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-15,1962-06-03,Group 3,Spain,Mexico,1,0,1,1794.09,1672.07,122.02,0.25,0.8098,0.6074
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-16,1962-06-03,Group 4,Hungary,Bulgaria,6,1,5,1795.04,1581.13,213.91,1.0,0.6666,0.0
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-17,1962-06-06,Group 1,Russia,Uruguay,2,1,1,1881.44,1756.13,125.31,0.25,0.8047,0.6035
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-18,1962-06-06,Group 2,Germany,Chile,2,0,2,1734.76,1599.72,135.04,0.5,0.7895,0.3948
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-19,1962-06-06,Group 3,Brazil,Spain,2,1,1,1952.45,1794.09,158.36,0.25,0.7532,0.5649
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-20,1962-06-06,Group 4,Hungary,Argentina,0,0,0,1795.04,1824.87,29.83,0.0,0.9535,0.9535
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-21,1962-06-07,Group 1,Yugoslavia,Colombia,5,0,5,1842.54,1349.34,493.2,1.0,0.5,0.0
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-22,1962-06-07,Group 2,Italy,Switzerland,3,0,3,1716.84,1568.98,147.86,0.75,0.7696,0.1924
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-23,1962-06-07,Group 3,Mexico,Czechoslovakia,3,1,2,1672.07,1802.62,130.55,0.5,0.7965,0.3983
WC-1962,1962 FIFA Men's World Cup,1962,M-1962-24,1962-06-07,Group 4,England,Bulgaria,0,0,0,1769.85,1581.13,188.72,0.0,0.7059,0.7059
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-01,1966-07-11,Group 1,England,Uruguay,0,0,0,1836.01,1703.43,132.58,0.0,0.7934,0.7934
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-02,1966-07-12,Group 2,Germany,Switzerland,5,0,5,1806.04,1509.0,297.04,1.0,0.5371,0.0
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-03,1966-07-12,Group 3,Brazil,Bulgaria,2,0,2,1859.75,1659.6,200.15,0.5,0.6881,0.344
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-04,1966-07-12,Group 4,Russia,North Korea,3,0,3,1862.53,1702.68,159.85,0.75,0.7509,0.1877
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-05,1966-07-13,Group 1,France,Mexico,1,1,0,1619.82,1764.24,144.42,0.0,0.7749,0.7749
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-06,1966-07-13,Group 2,Argentina,Spain,2,1,1,1818.56,1735.15,83.41,0.25,0.87,0.6525
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-07,1966-07-13,Group 3,Portugal,Hungary,3,1,2,1662.8,1812.49,149.69,0.5,0.7667,0.3834
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-08,1966-07-13,Group 4,Italy,Chile,2,0,2,1822.19,1619.71,202.48,0.5,0.6844,0.3422
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-09,1966-07-15,Group 1,Uruguay,France,2,1,1,1703.43,1619.82,83.61,0.25,0.8697,0.6523
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-10,1966-07-15,Group 2,Spain,Switzerland,2,1,1,1735.15,1509.0,226.15,0.25,0.6475,0.4857
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-11,1966-07-15,Group 3,Hungary,Brazil,3,1,2,1812.49,1859.75,47.26,0.5,0.9263,0.4632
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-12,1966-07-15,Group 4,Chile,North Korea,1,1,0,1619.71,1702.68,82.97,0.0,0.8707,0.8707
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-13,1966-07-16,Group 2,Argentina,Germany,0,0,0,1818.56,1806.04,12.52,0.0,0.9805,0.9805
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-14,1966-07-16,Group 3,Portugal,Bulgaria,3,0,3,1662.8,1659.6,3.2,0.75,0.995,0.2488
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-15,1966-07-16,Group 4,Russia,Italy,1,0,1,1862.53,1822.19,40.34,0.25,0.9371,0.7028
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-16,1966-07-16,Group 1,England,Mexico,2,0,2,1836.01,1764.24,71.77,0.5,0.8881,0.4441
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-17,1966-07-19,Group 1,Mexico,Uruguay,0,0,0,1764.24,1703.43,60.81,0.0,0.9052,0.9052
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-18,1966-07-19,Group 2,Argentina,Switzerland,2,0,2,1818.56,1509.0,309.56,0.5,0.5175,0.2588
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-19,1966-07-19,Group 3,Portugal,Brazil,3,1,2,1662.8,1859.75,196.95,0.5,0.6931,0.3465
WC-1966,1966 FIFA Men's World Cup,1966,M-1966-20,1966-07-19,Group 4,North Korea,Italy,1,0,1,1702.68,1822.19,119.51,0.25,0.8137,0.6103
